Training..
Epoch 93 - Train Loss: 0.1571, Val Accuracy : 0.9098
Epoch 94 - Train Loss: 0.1729, Val Accuracy : 0.9000
Epoch 95 - Train Loss: 0.1538, Val Accuracy : 0.8976
Epoch 96 - Train Loss: 0.1422, Val Accuracy : 0.9098
Epoch 97 - Train Loss: 0.1583, Val Accuracy : 0.9000
Epoch 98 - Train Loss: 0.1524, Val Accuracy : 0.9000
Epoch 99 - Train Loss: 0.1771, Val Accuracy : 0.9024
Epoch 100 - Train Loss: 0.1703, Val Accuracy : 0.9024
Epoch 101 - Train Loss: 0.1383, Val Accuracy : 0.9024
Epoch 102 - Train Loss: 0.1691, Val Accuracy : 0.9000
Epoch 103 - Train Loss: 0.1371, Val Accuracy : 0.9024
Epoch 104 - Train Loss: 0.1539, Val Accuracy : 0.9000
Epoch 105 - Train Loss: 0.1462, Val Accuracy : 0.9073
Epoch 106 - Train Loss: 0.1457, Val Accuracy : 0.9024
Epoch 107 - Train Loss: 0.1372, Val Accuracy : 0.9024
Epoch 108 - Train Loss: 0.1547, Val Accuracy : 0.9000
Epoch 109 - Train Loss: 0.1319, Val Accuracy : 0.9000
Epoch 110 - Train Loss: 0.1328, Val Accuracy : 0.9000
Epoch 111 - Train Loss: 0.1510, Val Accuracy : 0.9024
Epoch 112 - Train Loss: 0.1549, Val Accuracy : 0.9024
Epoch 113 - Train Loss: 0.1440, Val Accuracy : 0.9000
Epoch 114 - Train Loss: 0.1557, Val Accuracy : 0.9073
Epoch 115 - Train Loss: 0.1542, Val Accuracy : 0.8927
Epoch 116 - Train Loss: 0.1437, Val Accuracy : 0.8927
Epoch 117 - Train Loss: 0.1555, Val Accuracy : 0.9000
Epoch 118 - Train Loss: 0.1481, Val Accuracy : 0.8976
Epoch 119 - Train Loss: 0.1601, Val Accuracy : 0.8976
Epoch 120 - Train Loss: 0.1508, Val Accuracy : 0.8976
Validation accuracy: 0.9122
