Training..
Epoch 93 - Train Loss: 0.0804, Val Accuracy : 0.9244
Epoch 94 - Train Loss: 0.0706, Val Accuracy : 0.9171
Epoch 95 - Train Loss: 0.0720, Val Accuracy : 0.9195
Epoch 96 - Train Loss: 0.0745, Val Accuracy : 0.9073
Epoch 97 - Train Loss: 0.0668, Val Accuracy : 0.9171
Epoch 98 - Train Loss: 0.0824, Val Accuracy : 0.9000
Epoch 99 - Train Loss: 0.0605, Val Accuracy : 0.9195
Epoch 100 - Train Loss: 0.0642, Val Accuracy : 0.9171
Epoch 101 - Train Loss: 0.0632, Val Accuracy : 0.9268
Epoch 102 - Train Loss: 0.0585, Val Accuracy : 0.9195
Epoch 103 - Train Loss: 0.0672, Val Accuracy : 0.9146
Epoch 104 - Train Loss: 0.0719, Val Accuracy : 0.9341
Epoch 105 - Train Loss: 0.0559, Val Accuracy : 0.9414
best model saved
Epoch 106 - Train Loss: 0.0792, Val Accuracy : 0.9171
Epoch 107 - Train Loss: 0.0833, Val Accuracy : 0.9244
Epoch 108 - Train Loss: 0.0670, Val Accuracy : 0.9000
Epoch 109 - Train Loss: 0.0667, Val Accuracy : 0.9195
Epoch 110 - Train Loss: 0.0623, Val Accuracy : 0.9171
Epoch 111 - Train Loss: 0.0756, Val Accuracy : 0.9098
Epoch 112 - Train Loss: 0.0680, Val Accuracy : 0.9122
Epoch 113 - Train Loss: 0.0722, Val Accuracy : 0.9122
Epoch 114 - Train Loss: 0.0649, Val Accuracy : 0.9122
Epoch 115 - Train Loss: 0.0743, Val Accuracy : 0.9073
Epoch 116 - Train Loss: 0.0774, Val Accuracy : 0.9220
Epoch 117 - Train Loss: 0.0665, Val Accuracy : 0.9220
Epoch 118 - Train Loss: 0.0647, Val Accuracy : 0.9244
Epoch 119 - Train Loss: 0.0697, Val Accuracy : 0.9195
Epoch 120 - Train Loss: 0.0590, Val Accuracy : 0.9122
Validation accuracy: 0.9414

